dataset,model,item,reference,transcript,latency_seconds,wer,cer
kathbath,deepgram_nova3,kathbath_30,कुंभ में बारिश ने तीर्थयात्रियों को किया हलकान,कुम्बे बारिश ने तीर्थ यात्रियों को किया हल्कान.,1.891,0.625,0.132
kathbath,sarvam_saarika,kathbath_30,कुंभ में बारिश ने तीर्थयात्रियों को किया हलकान,कुंभ में बारिश ने तीर्थ यात्रियों को किया हलकान,0.679,0.25,0.019
kathbath,whisper_large_v3,kathbath_30,कुंभ में बारिश ने तीर्थयात्रियों को किया हलकान,कुम्मे बारिश ने तीर थियात्रियों को किया हलकान,1.519,0.5,0.151
kathbath,indicconformer,kathbath_30,कुंभ में बारिश ने तीर्थयात्रियों को किया हलकान,कुंभ में बारिश ने तीर्थयात्रियों को किया हल कान,0.927,0.25,0.019
kathbath,indicwav2vec,kathbath_30,कुंभ में बारिश ने तीर्थयात्रियों को किया हलकान,कुम में बारिश ने तीर्थ यात्रियों को किया हलकान,0.019,0.375,0.057
kathbath,deepgram_nova3,kathbath_31,पार्टी के तीन सचिवों ने अपने पदों से इस्तीफा दे दिया है,Party के तीन सचिवों ने अपने पदों से इस्तीफा दे दिया है.,1.415,0.083,0.017
kathbath,sarvam_saarika,kathbath_31,पार्टी के तीन सचिवों ने अपने पदों से इस्तीफा दे दिया है,पार्टी के तीन सचिवों ने अपने पदों से इस्तीफा दे दिया है,0.661,0.0,0.0
kathbath,whisper_large_v3,kathbath_31,पार्टी के तीन सचिवों ने अपने पदों से इस्तीफा दे दिया है,पार्टी के तीन सचीवों ने अपने पदों से स्थीफा दे दिया है,1.879,0.083,0.033
kathbath,indicconformer,kathbath_31,पार्टी के तीन सचिवों ने अपने पदों से इस्तीफा दे दिया है,पार्टी के तीन सचिवों ने अपने पदों से इस्तीफा दे दिया है,0.78,0.0,0.0
kathbath,indicwav2vec,kathbath_31,पार्टी के तीन सचिवों ने अपने पदों से इस्तीफा दे दिया है,पार्टी के तीन सचिवों ने अपने पदों से इस्तीफा दे दिया है,0.02,0.0,0.0
kathbath,deepgram_nova3,kathbath_32,अब फाइनल बोर्ड परीक्षाओं के लिए भी छात्रों ने कमर कसनी शुरू कर दी है,अब final board परीक्षाओं के लिए भी छात्रों ने कमर कसनी शुरू कर दी है.,1.301,0.133,0.072
kathbath,sarvam_saarika,kathbath_32,अब फाइनल बोर्ड परीक्षाओं के लिए भी छात्रों ने कमर कसनी शुरू कर दी है,अब फाइनल बोर्ड परीक्षाओं के लिए भी छात्रों ने कमर कसनी शुरू कर दी है,0.697,0.0,0.0
kathbath,whisper_large_v3,kathbath_32,अब फाइनल बोर्ड परीक्षाओं के लिए भी छात्रों ने कमर कसनी शुरू कर दी है,अब फाइनल बोर्ट परिक्षाओं के लिए भी छात्रों ने कमर कसनी शुरू कर दी है।,1.997,0.067,0.012
kathbath,indicconformer,kathbath_32,अब फाइनल बोर्ड परीक्षाओं के लिए भी छात्रों ने कमर कसनी शुरू कर दी है,अब फाइनल बोर्ड परीक्षाओं के लिए भी छात्रों ने कमर कसनी शुरू कर दी है,0.971,0.0,0.0
kathbath,indicwav2vec,kathbath_32,अब फाइनल बोर्ड परीक्षाओं के लिए भी छात्रों ने कमर कसनी शुरू कर दी है,अब फाइनल बोर्ड परीक्षाओं के लिए भी छात्रों ने कमर कसनी शुरू कर दी है,0.017,0.0,0.0
kathbath,deepgram_nova3,kathbath_33,मुझे मालूम हुआ है कि उन्हें हटा दिया गया है,मुझे मालूम हुआ है कि उन्हें हटा दिया गया है.,1.111,0.0,0.0
kathbath,sarvam_saarika,kathbath_33,मुझे मालूम हुआ है कि उन्हें हटा दिया गया है,मुझे मालूम हुआ है कि उन्हें हटा दिया गया है,0.707,0.0,0.0
kathbath,whisper_large_v3,kathbath_33,मुझे मालूम हुआ है कि उन्हें हटा दिया गया है,मुझे मालूम हुआ है कि उन्हें हटा दिया गया है।,1.525,0.0,0.0
kathbath,indicconformer,kathbath_33,मुझे मालूम हुआ है कि उन्हें हटा दिया गया है,मुझे मालूम हुआ है कि उन्हें हटा दिया गया है,1.239,0.0,0.0
kathbath,indicwav2vec,kathbath_33,मुझे मालूम हुआ है कि उन्हें हटा दिया गया है,मुझे मालूम हुआ है कि उन्हें हटा दिया गया है,0.022,0.0,0.0
kathbath,deepgram_nova3,kathbath_34,ये तो पिछले दरवाजे से आए कुछ लोगों की साजिश है,ये तो पिछले दरवाज़े से आए कुछ लोगों की साज़िश है.,1.151,0.182,0.036
kathbath,sarvam_saarika,kathbath_34,ये तो पिछले दरवाजे से आए कुछ लोगों की साजिश है,यह तो पिछले दरवाजे से आए कुछ लोगों की साजिश है,0.718,0.091,0.055
kathbath,whisper_large_v3,kathbath_34,ये तो पिछले दरवाजे से आए कुछ लोगों की साजिश है,ये तो पिछले दरवाजे से आए कुछ लोगों की साजिश है।,1.62,0.0,0.0
kathbath,indicconformer,kathbath_34,ये तो पिछले दरवाजे से आए कुछ लोगों की साजिश है,ये तो पिछले दरवाजे से आए कुछ लोगों की साजिश है,1.021,0.0,0.0
kathbath,indicwav2vec,kathbath_34,ये तो पिछले दरवाजे से आए कुछ लोगों की साजिश है,ये तो पिछले दरवाज़े से आए कुछ लोगों की साजिश है,0.018,0.091,0.018
kathbath,deepgram_nova3,kathbath_35,हालांकि भर्ती मरीजों को डिस्चार्ज करने का कार्य बुधवार व गुरुवार से ही जारी था,हालांकि बढ़ती मरीज़ों को discharge करने का कार्य बुधवार व गुरुवार से ही जारी था.,1.774,0.267,0.08
kathbath,sarvam_saarika,kathbath_35,हालांकि भर्ती मरीजों को डिस्चार्ज करने का कार्य बुधवार व गुरुवार से ही जारी था,हालांकि भर्ती मरीजों को डिस्चार्ज करने का कार्य बुधवार व गुरुवार से ही जारी था,0.826,0.0,0.0
kathbath,whisper_large_v3,kathbath_35,हालांकि भर्ती मरीजों को डिस्चार्ज करने का कार्य बुधवार व गुरुवार से ही जारी था,हालंकि बढ़ती मरीजों को डिस्चार्ज करने का कारे बुद्धुआर वा गुरुवार से ही जारी था,2.157,0.267,0.102
kathbath,indicconformer,kathbath_35,हालांकि भर्ती मरीजों को डिस्चार्ज करने का कार्य बुधवार व गुरुवार से ही जारी था,हालांकि बढ़ती मरीजों को डिस्चार्ज करने का कार्य बुधवार व गुरुवार से ही जारी था,1.123,0.133,0.045
kathbath,indicwav2vec,kathbath_35,हालांकि भर्ती मरीजों को डिस्चार्ज करने का कार्य बुधवार व गुरुवार से ही जारी था,हालांकि बऱती मरीजों को डिस्चार्ज करने का कार्य बुधवार व गुरुवार से ही जारी था,0.022,0.067,0.023
kathbath,deepgram_nova3,kathbath_36,आधिकारिक रिपोर्ट में कहा गया कि कुछ हमलावरों को सऊदी अधिकारियों से रकम मिली थी,आधिकारिक report में कहा गया कि कुछ हमलावरों को सऊदी अधिकारियों से रकम मिली थी.,1.528,0.067,0.022
kathbath,sarvam_saarika,kathbath_36,आधिकारिक रिपोर्ट में कहा गया कि कुछ हमलावरों को सऊदी अधिकारियों से रकम मिली थी,आधिकारिक रिपोर्ट में कहा गया है कि कुछ हमलावरों को सऊदी अधिकारियों से रकम मिली थी,0.795,0.067,0.043
kathbath,whisper_large_v3,kathbath_36,आधिकारिक रिपोर्ट में कहा गया कि कुछ हमलावरों को सऊदी अधिकारियों से रकम मिली थी,अधिकारिक रिपोर्ट में कहा गया कि कुछ हमलावरों को साउधी यदकारियों से रिरकम मिली थी,2.131,0.2,0.065
kathbath,indicconformer,kathbath_36,आधिकारिक रिपोर्ट में कहा गया कि कुछ हमलावरों को सऊदी अधिकारियों से रकम मिली थी,आधिकारिक रिपोर्ट में कहा गया कि कुछ हमलावरों को सऊदी अधिकारियों से रकम मिली थी,1.048,0.0,0.0
kathbath,indicwav2vec,kathbath_36,आधिकारिक रिपोर्ट में कहा गया कि कुछ हमलावरों को सऊदी अधिकारियों से रकम मिली थी,आधिकारिक रिपोर्ट में कहा गया कि कुछ हमलावरों को सऊधी अधिकारियों से रकम मिली थी,0.021,0.067,0.011
kathbath,deepgram_nova3,kathbath_37,अब इस फिल्म के जल्द रिलीज होने की कोई संभावना नहीं है,अब इस film के जल्द release होने की कोई संभावना नहीं है.,1.498,0.167,0.127
kathbath,sarvam_saarika,kathbath_37,अब इस फिल्म के जल्द रिलीज होने की कोई संभावना नहीं है,अब इस फ़िल्म के जल्द रिलीज़ होने की कोई संभावना नहीं है,0.726,0.167,0.048
kathbath,whisper_large_v3,kathbath_37,अब इस फिल्म के जल्द रिलीज होने की कोई संभावना नहीं है,अब इस फिल्म के जल्द रिलीज होने की कोई संभावना नहीं है,1.677,0.0,0.0
kathbath,indicconformer,kathbath_37,अब इस फिल्म के जल्द रिलीज होने की कोई संभावना नहीं है,अब इस फिल्म के जल्द रिलीज होने की कोई संभावना नहीं है,0.85,0.0,0.0
kathbath,indicwav2vec,kathbath_37,अब इस फिल्म के जल्द रिलीज होने की कोई संभावना नहीं है,अब इस फिल्म के जल्द रिलीज होने की कोई संभावना नहीं है,0.019,0.0,0.0
kathbath,deepgram_nova3,kathbath_38,कैप्टन ने कहा कि फ्यूचर पॉलिटिक्स को लेकर मेरे पास कई ऑप्शन हैं,Captain ने कहा कि future politics को लेकर मेरे पास कई option हैं.,1.374,0.357,0.263
kathbath,sarvam_saarika,kathbath_38,कैप्टन ने कहा कि फ्यूचर पॉलिटिक्स को लेकर मेरे पास कई ऑप्शन हैं,कैप्टन ने कहा कि फ्यूचर पॉलिटिक्स को लेकर मेरे पास कई ऑप्शन हैं,0.766,0.0,0.0
kathbath,whisper_large_v3,kathbath_38,कैप्टन ने कहा कि फ्यूचर पॉलिटिक्स को लेकर मेरे पास कई ऑप्शन हैं,कैप्टन ने कहा की फ्यूचर पॉलिटिक्स को लेकर मेरे पास कई ओप्शन है,2.006,0.143,0.026
kathbath,indicconformer,kathbath_38,कैप्टन ने कहा कि फ्यूचर पॉलिटिक्स को लेकर मेरे पास कई ऑप्शन हैं,कैप्टन ने कहा कि फ्यूचर पॉलिटिक्स को लेकर मेरे पास कई ऑप्शन हैं,1.269,0.0,0.0
kathbath,indicwav2vec,kathbath_38,कैप्टन ने कहा कि फ्यूचर पॉलिटिक्स को लेकर मेरे पास कई ऑप्शन हैं,कैप्टन ने कहा की फ्यूचर पॉलिटिक्स को लेकर मेरे पास कई ऑप्शन है,0.019,0.071,0.013
kathbath,deepgram_nova3,kathbath_39,पार्टी ने कहा कि इसका निर्णय कानूनी प्रक्रिया के जरिए ही किया जा सकता है,Party ने कहा कि इसका निर्णय कानूनी प्रक्रिया के जरिए ही किया जा सकता है.,1.631,0.067,0.013
kathbath,sarvam_saarika,kathbath_39,पार्टी ने कहा कि इसका निर्णय कानूनी प्रक्रिया के जरिए ही किया जा सकता है,पार्टी ने कहा कि इसका निर्णय कानूनी प्रक्रिया के जरिए ही किया जा सकता है,0.673,0.0,0.0
kathbath,whisper_large_v3,kathbath_39,पार्टी ने कहा कि इसका निर्णय कानूनी प्रक्रिया के जरिए ही किया जा सकता है,पार्टी ने कहा कि इसका निर्णय कानूनी प्रक्रिया के जरिये ही किया जा सकता है,1.911,0.067,0.013
kathbath,indicconformer,kathbath_39,पार्टी ने कहा कि इसका निर्णय कानूनी प्रक्रिया के जरिए ही किया जा सकता है,पार्टी ने कहा कि इसका निर्णय कानूनी प्रक्रिया के जरिए ही किया जा सकता है,1.112,0.0,0.0
kathbath,indicwav2vec,kathbath_39,पार्टी ने कहा कि इसका निर्णय कानूनी प्रक्रिया के जरिए ही किया जा सकता है,पार्टी ने कहा कि इसका निर्णय कानूनी प्रक्रिया के जरिए ही किया जा सकता है,0.021,0.0,0.0
